pais;ano;chegadas
Suécia;2020;9484
Suécia;2021;3952
Suécia;2022;12457
Suécia;2023;18049
Suécia;2024;20776
Suíça;2015;70319
Suíça;2016;69074
Suíça;2017;69484
Suíça;2018;70040
Suíça;2019;63826
Suíça;2020;17063
Suíça;2021;13568
Suíça;2022;38371
Suíça;2023;50359
Suíça;2024;58092
Sérvia;2015;2988
Sérvia;2016;3286
Sérvia;2017;1819
Sérvia;2018;1811
Sérvia;2019;2352
Sérvia;2020;787
Sérvia;2021;495
Sérvia;2022;1695
Sérvia;2023;2250
Sérvia;2024;2961
Síria;2015;4234
Síria;2016;2124
Síria;2017;2333
Síria;2018;1143
Síria;2019;1130
Síria;2020;249
Síria;2021;152
Síria;2022;409
Síria;2023;676
Síria;2024;588
Tailândia;2015;4259
Tailândia;2016;4055
Tailândia;2017;3186
Tailândia;2018;4146
Tailândia;2019;4025
Tailândia;2020;760
Tailândia;2021;207
Tailândia;2022;1906
Tailândia;2023;3049
Tailândia;2024;4112
Taiwan;2015;10608
Taiwan;2016;6982
Taiwan;2017;5135
Taiwan;2018;6096
Taiwan;2019;4721
Taiwan;2020;1067
Taiwan;2021;121
Taiwan;2022;681
Taiwan;2023;1869
Taiwan;2024;4087
Trinidad e Tobago;2015;2193
Trinidad e Tobago;2016;1767
Trinidad e Tobago;2017;1009
Trinidad e Tobago;2018;1049
Trinidad e Tobago;2019;1087
Trinidad e Tobago;2020;143
Trinidad e Tobago;2021;84
Trinidad e Tobago;2022;520
Trinidad e Tobago;2023;863
Trinidad e Tobago;2024;820
Tunísia;2015;1725
Tunísia;2016;2032
Tunísia;2017;1374
Tunísia;2018;1488
Tunísia;2019;1728
Tunísia;2020;551
Tunísia;2021;422
Tunísia;2022;1049
Tunísia;2023;1631
Tunísia;2024;1710
Turquia;2015;15774
Turquia;2016;15825
Turquia;2017;14417
Turquia;2018;11711
Turquia;2019;11914
Turquia;2020;4066
Turquia;2021;2018
Turquia;2022;7467
Turquia;2023;14928
Turquia;2024;25117
Ucrânia;2015;5884
Ucrânia;2016;7126
Ucrânia;2017;4391
Ucrânia;2018;4851
Ucrânia;2019;6193
Ucrânia;2020;3254
Ucrânia;2021;2052
Ucrânia;2022;3299
Ucrânia;2023;3963
Ucrânia;2024;4795
Uruguai;2015;267321
Uruguai;2016;284113
Uruguai;2017;328098
Uruguai;2018;348336
Uruguai;2019;364830
Uruguai;2020;113714
Uruguai;2021;11575
Uruguai;2022;180064
Uruguai;2023;334703
Uruguai;2024;388464
Venezuela;2015;80488
Venezuela;2016;61160
Venezuela;2017;53950
Venezuela;2018;40761
Venezuela;2019;40160
Venezuela;2020;11636
Venezuela;2021;2499
Venezuela;2022;3750
Venezuela;2023;5777
Venezuela;2024;8637
África do Sul;2015;27260
África do Sul;2016;24065
África do Sul;2017;20768
África do Sul;2018;21284
África do Sul;2019;24869
África do Sul;2020;4040
África do Sul;2021;708
África do Sul;2022;5403
África do Sul;2023;8834
África do Sul;2024;15280
Áustria;2015;26575
Áustria;2016;23531
Áustria;2017;20358
Áustria;2018;29643
Áustria;2019;22051
Áustria;2020;6077
Áustria;2021;2892
Áustria;2022;11211
Áustria;2023;15649
Áustria;2024;18469
Índia;2015;23259
Índia;2016;23246
Índia;2017;16916
Índia;2018;16719
Índia;2019;16958
Índia;2020;2953
Índia;2021;1172
Índia;2022;7528
Índia;2023;13130
Índia;2024;15274
